City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Namibe,AO,9/27/2022 18:56,-15.1961,12.1522,64.42,76,86,3.85
176,Souillac,MU,9/27/2022 18:57,-20.5167,57.5167,71.98,60,75,10.36
177,Henties Bay,NA,9/27/2022 18:57,-22.116,14.2845,56.21,79,77,7.49
178,Mugumu,TZ,9/27/2022 18:57,-1.85,34.7,70.99,38,77,7.4
179,Clarence Town,AU,9/27/2022 18:57,-32.5833,151.7833,59.86,96,11,4.41
180,Maceio,BR,9/27/2022 18:57,-9.6658,-35.7353,81.84,57,0,10.36
181,Challapata,BO,9/27/2022 18:57,-18.9,-66.7667,59.86,6,0,12.62
182,Arroyo,ES,9/27/2022 18:57,41.6096,-4.7969,67.6,40,0,9.22
183,Vredendal,ZA,9/27/2022 18:57,-31.6683,18.5012,55.74,67,96,9.93
184,Lethem,GY,9/27/2022 18:57,3.3803,-59.7968,93.25,62,40,11.5
185,Urucara,BR,9/27/2022 18:57,-2.5364,-57.76,99.97,28,42,5.97
186,North Kessock,GB,9/27/2022 18:57,57.5013,-4.2443,51.87,82,40,10.36
187,Marsa Matruh,EG,9/27/2022 18:57,31.3525,27.2453,79,78,0,6.91
188,Rio Branco,BR,9/27/2022 18:57,-9.9747,-67.81,95.61,38,40,5.75
189,Puerto Ayora,EC,9/27/2022 18:57,-0.7393,-90.3518,75.16,87,79,5.99
190,Venado Tuerto,AR,9/27/2022 18:57,-33.7456,-61.9688,80.01,18,100,6.17
191,Pestravka,RU,9/27/2022 18:57,52.405,49.9583,52,58,100,6.55
192,Kindu,CD,9/27/2022 18:57,-2.95,25.95,67.08,98,100,2.46
193,Bambous Virieux,MU,9/27/2022 18:57,-20.3428,57.7575,71.85,60,75,10.36
194,Ostrogozhsk,RU,9/27/2022 18:57,50.8664,39.0756,54.25,92,100,7.96
195,Chuy,UY,9/27/2022 18:57,-33.6971,-53.4616,63.91,64,15,12.73
196,Cap Estate,LC,9/27/2022 18:57,14.0833,-60.95,83.82,78,100,14.05
197,Bud,US,9/27/2022 18:57,39.447,-86.1758,66.2,43,31,17
198,Kharela,IN,9/27/2022 18:57,25.55,79.8167,81.99,69,1,3.74
199,Bathsheba,BB,9/27/2022 18:56,13.2167,-59.5167,84.81,85,75,5.75
200,Tatarsk,RU,9/27/2022 18:57,55.219,75.9828,31.39,97,100,12.06
201,Kibaya,TZ,9/27/2022 18:57,-5.3,36.5667,60.87,72,11,9.26
202,Santa Marta,CO,9/27/2022 18:57,11.2408,-74.199,89.89,67,75,13.8
203,San Felipe,VE,9/27/2022 18:54,10.3399,-68.7425,84.58,65,99,6.55
204,Khetia,IN,9/27/2022 18:57,21.6667,74.5833,77.22,79,28,5.19
205,Danielskuil,ZA,9/27/2022 18:57,-28.1887,23.5395,68.18,28,61,7.05
206,Miastko,PL,9/27/2022 18:57,54.0028,16.9826,50.43,94,100,10.33
207,Vuktyl,RU,9/27/2022 18:57,63.8567,57.3094,29.48,64,8,1.32
208,Cockburn Town,TC,9/27/2022 18:57,21.4612,-71.1419,82.85,77,83,16.37
209,Raudeberg,NO,9/27/2022 18:57,61.9875,5.1352,50.95,37,100,7.02
210,Puerto Carreno,CO,9/27/2022 18:57,6.189,-67.4859,93.18,52,20,4.61
211,Espoo,FI,9/27/2022 18:53,60.25,24.6667,52.83,83,20,8.05
212,Sur,OM,9/27/2022 18:57,22.5667,59.5289,81.18,74,2,14.99
213,Road Town,VG,9/27/2022 18:57,18.4167,-64.6167,86.04,79,40,9.22
214,Pangnirtung,CA,9/27/2022 18:56,66.1451,-65.7125,39.2,65,40,6.51
215,Itarema,BR,9/27/2022 18:57,-2.9248,-39.9167,82.98,64,0,19.51
216,Marquette,US,9/27/2022 18:57,46.5333,-87.6335,43.77,92,100,13.76
217,Santa Rosa,PH,9/27/2022 18:54,14.3122,121.1114,78.78,94,100,1.92
218,Keti Bandar,PK,9/27/2022 18:57,24.1447,67.4497,80.58,72,24,10.13
219,Oxapampa,PE,9/27/2022 18:57,-10.5775,-75.4017,69.67,76,85,3.51
220,Nicolas Bravo,MX,9/27/2022 18:57,18.45,-88.9167,89.28,50,97,3.51
221,Tame,CO,9/27/2022 18:57,6.461,-71.73,89.73,51,95,5.17
222,Taltal,CL,9/27/2022 18:57,-25.4,-70.4833,59.83,63,24,5.41
223,Zuenoula,CI,9/27/2022 18:57,7.4292,-6.0431,73.9,93,95,3.67
224,Bolu,TR,9/27/2022 18:57,40.6667,31.5833,62.71,29,66,2.46
225,Abu Kamal,SY,9/27/2022 18:58,34.4506,40.9171,81.37,11,0,8.66
226,Muros,ES,9/27/2022 18:56,42.7762,-9.0603,64.83,77,8,8.66
227,Sept-Iles,CA,9/27/2022 18:58,50.2001,-66.3821,52.32,94,100,6.91
228,Waddan,LY,9/27/2022 18:58,29.1614,16.139,92.34,19,6,3.15
229,Greenfield,US,9/27/2022 18:58,42.9614,-88.0126,56.14,60,100,13.8
230,Capitan Meza,PY,9/27/2022 18:59,-27.0167,-55.5667,79.23,79,98,4.32
231,Ambilobe,MG,9/27/2022 18:59,-13.2,49.05,69.08,67,0,4.9
232,Uruacu,BR,9/27/2022 18:59,-14.5247,-49.1408,95.65,18,16,4.43
233,Iralaya,HN,9/27/2022 18:59,15,-83.2333,85.35,67,85,8.3
234,Coihaique,CL,9/27/2022 18:59,-45.5752,-72.0662,58.95,44,20,6.91
235,Oksfjord,NO,9/27/2022 18:59,70.2396,22.3479,50.18,80,12,7.29
236,Kayerkan,RU,9/27/2022 18:59,69.3497,87.7602,19.09,85,20,4.23
237,Chadiza,ZM,9/27/2022 18:59,-14.0678,32.4392,75.54,39,40,10.31
238,Betioky,MG,9/27/2022 18:59,-23.7167,44.3833,76.23,43,0,8.77
239,Kaputa,ZM,9/27/2022 18:59,-8.4689,29.6619,79.39,43,61,4.63
240,Hamilton,US,9/27/2022 18:59,39.1834,-84.5333,66.6,43,6,8.01
241,Tocopilla,CL,9/27/2022 18:54,-22.092,-70.1979,63.01,65,21,5.57
242,Luderitz,NA,9/27/2022 18:59,-26.6481,15.1594,57.33,69,1,14.18
243,Gambela,ET,9/27/2022 18:59,8.25,34.5833,70.86,96,100,3.33
244,Sioux Lookout,CA,9/27/2022 18:54,50.1001,-91.917,42.87,56,20,10.36
245,Barreirinhas,BR,9/27/2022 18:59,-2.7469,-42.8264,86.52,58,5,10.67
246,Saint-Francois,FR,9/27/2022 18:59,46.4154,3.9054,54.84,71,0,4.61
247,Rawson,AR,9/27/2022 18:59,-43.3002,-65.1023,63.73,30,0,13.22
248,Camacha,PT,9/27/2022 18:59,33.0833,-16.3333,69.22,60,40,14.97
249,Soyo,AO,9/27/2022 18:59,-6.1349,12.3689,74.89,83,100,7.34
250,Port Antonio,JM,9/27/2022 18:59,18.18,-76.4612,89.01,74,94,13.04
251,Oxelosund,SE,9/27/2022 18:59,58.6706,17.1015,57.88,88,75,14.97
252,Tabou,CI,9/27/2022 18:59,4.423,-7.3528,76.08,90,23,7.16
253,Sorland,NO,9/27/2022 18:59,67.667,12.6934,51.66,75,42,13.91
254,Benjamin Constant,BR,9/27/2022 18:59,-4.3831,-70.0311,95.13,55,20,4.61
255,Sambava,MG,9/27/2022 18:59,-14.2667,50.1667,67.59,88,12,11.5
256,Comodoro Rivadavia,AR,9/27/2022 18:59,-45.8667,-67.5,69.66,23,0,21.85
257,Lagoa,PT,9/27/2022 18:59,39.05,-27.9833,69.66,65,57,19.55
258,Ekibastuz,KZ,9/27/2022 18:59,51.6667,75.3667,40.78,77,100,17.58
259,Thunder Bay,CA,9/27/2022 18:59,48.4001,-89.3168,46.38,53,75,13.8
260,Marovoay,MG,9/27/2022 18:59,-16.1,46.6333,75.92,50,0,10.71
261,Berlevag,NO,9/27/2022 18:59,70.8578,29.0864,48.15,81,100,11.5
262,Nioro,GM,9/27/2022 18:59,13.35,-15.75,78.76,82,88,4.79
263,Presidencia Roque Saenz Pena,AR,9/27/2022 18:56,-26.7852,-60.4388,82.94,29,74,14.47
264,Isla Mujeres,MX,9/27/2022 18:59,21.2311,-86.731,89.65,82,99,14
265,Yumbe,UG,9/27/2022 18:59,3.4651,31.2469,65.53,93,66,3.91
266,Adet,ET,9/27/2022 18:59,11.2644,37.4888,58.17,82,95,2.46
267,Sao Joao Da Barra,BR,9/27/2022 18:59,-21.6403,-41.0511,78.89,89,100,13.67
268,Port-Cartier,CA,9/27/2022 18:55,50.0334,-66.8654,52.02,89,100,2.46
269,Najran,SA,9/27/2022 18:59,17.4924,44.1277,77.65,24,0,4.12
270,Aswan,EG,9/27/2022 18:59,24.0934,32.907,97.9,12,0,4.61
271,Sohag,EG,9/27/2022 18:59,26.557,31.6948,100.69,15,0,9.35
272,La Baule-Escoublac,FR,9/27/2022 18:59,47.2922,-2.364,62.26,93,100,20.71
273,Olinda,BR,9/27/2022 19:00,-8.0089,-34.8553,78.6,61,28,12.91
274,Barinas,VE,9/27/2022 19:00,8.6226,-70.2075,93.24,52,100,4.61
275,Kangaatsiaq,GL,9/27/2022 19:00,68.3065,-53.4641,40.8,94,100,5.41
276,Bara,NG,9/27/2022 19:00,10.3744,10.7288,74.01,87,74,2.71
277,Luis Correia,BR,9/27/2022 19:00,-2.8792,-41.6669,87.8,66,20,18.41
278,Karaman,TR,9/27/2022 19:00,37.0833,33.25,60.3,41,5,11.07
279,Hobyo,SO,9/27/2022 19:00,5.3505,48.5268,78.03,85,40,19.55
280,Buchanan,LR,9/27/2022 19:00,5.8808,-10.0467,77.13,87,73,6.04
281,Boca Do Acre,BR,9/27/2022 19:00,-8.7522,-67.3978,101.7,23,100,2.46
282,Sucre,BO,9/27/2022 19:00,-19.0333,-65.2627,70.74,34,5,20
283,Rotterdam,NL,9/27/2022 18:59,51.9225,4.4792,49.91,91,75,8.05
284,Domoni,KM,9/27/2022 19:00,-12.2569,44.5319,74.52,84,0,3.22
285,Yarmouth,US,9/27/2022 18:59,41.7057,-70.2286,75.18,62,11,4
286,Raga,SS,9/27/2022 19:00,8.4596,25.678,70.93,94,100,3.56
287,Touba,CI,9/27/2022 19:00,8.2833,-7.6833,71.85,90,93,1.68
288,Barela,IN,9/27/2022 19:00,23.1,80.05,74.57,86,64,0.94
289,Mankera,PK,9/27/2022 19:00,31.3866,71.4407,87.62,43,0,9.37
290,Ninotsminda,GE,9/27/2022 19:00,41.2646,43.5916,50.92,35,16,7.27
291,Moncton,CA,9/27/2022 18:57,46.1159,-64.8019,73.89,56,20,10.36
292,Veraval,IN,9/27/2022 19:00,20.9,70.3667,79.05,76,2,7.16
293,Galle,LK,9/27/2022 19:00,6.0367,80.217,79.14,84,79,11.63
294,Antofagasta,CL,9/27/2022 19:00,-23.65,-70.4,61.92,68,9,9.31
295,Aksu,CN,9/27/2022 19:00,41.1231,80.2644,70.52,23,0,3.56
296,Stephenville Crossing,CA,9/27/2022 19:00,48.5,-58.4318,65.21,89,100,12.91
297,Lamu,KE,9/27/2022 19:00,-2.2717,40.902,77.22,84,99,15.05
298,Mayumba,GA,9/27/2022 19:00,-3.432,10.6554,75.72,84,100,5.88
299,Morondava,MG,9/27/2022 19:00,-20.2833,44.2833,77.04,80,0,13.38
300,Sakakah,SA,9/27/2022 19:00,29.9697,40.2064,86.09,17,0,11.39
301,Sar-E Pul,AF,9/27/2022 19:00,35.8333,66.1667,55.04,37,0,1.66
