City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Santa Maria,BR,-29.6842,-53.8069,63.7,100,75,6.91,thunderstorm with light rain
294,Barra Do Corda,BR,-5.5,-45.25,82.27,40,38,2.21,scattered clouds
295,General Roca,AR,-39.0333,-67.5833,61.45,49,100,28.03,overcast clouds
296,Islamkot,PK,24.6997,70.177,82.96,54,100,8.7,overcast clouds
297,La Rioja,ES,42.25,-2.5,47.98,77,100,6.22,overcast clouds
298,Huarmey,PE,-10.0681,-78.1522,62.53,83,17,9.26,few clouds
299,Saint-Louis,SN,16.3333,-15.0,87.44,61,7,10.98,clear sky
300,Hualmay,PE,-11.0964,-77.6139,61.48,82,7,9.01,clear sky
301,Porto Velho,BR,-8.7619,-63.9039,80.65,83,0,1.14,clear sky
302,Bilma,NE,18.6853,12.9164,82.67,23,9,11.16,clear sky
303,Korla,CN,41.7597,86.1469,53.22,41,37,1.03,scattered clouds
304,Kalmunai,LK,7.4167,81.8167,80.29,75,95,4.5,overcast clouds
305,Moussoro,TD,13.6408,16.4901,87.78,24,87,3.24,overcast clouds
306,Charlestown,AU,-32.95,151.6667,71.82,75,100,5.01,moderate rain
307,Maputo,MZ,-25.9653,32.5892,74.88,83,20,13.8,few clouds
308,Diego De Almagro,CL,-26.3667,-70.05,60.98,23,1,0.76,clear sky
309,Aguia Branca,BR,-18.9831,-40.7403,71.19,85,15,2.75,few clouds
310,Diamantino,BR,-14.4086,-56.4461,82.96,51,90,5.21,overcast clouds
311,Bosaso,SO,11.2842,49.1816,81.54,64,16,2.24,few clouds
312,Antibes,FR,43.5624,7.1278,67.14,81,0,8.05,clear sky
313,Ust-Koksa,RU,50.2696,85.6108,33.22,89,40,0.98,scattered clouds
314,Nicoya,CR,10.1483,-85.452,75.51,90,100,3.13,overcast clouds
315,Xacmaz,AZ,41.4635,48.806,63.14,77,98,8.1,overcast clouds
316,Caravelas,BR,-17.7125,-39.2481,74.88,84,100,7.25,overcast clouds
317,Dubreka,GN,9.7911,-13.5233,75.36,90,27,1.14,scattered clouds
318,Manica,FR,49.0,-1.1667,46.38,79,21,3.49,few clouds
319,Sur,OM,22.5667,59.5289,81.03,58,82,2.3,broken clouds
320,Manoel Urbano,BR,-8.8389,-69.2597,72.68,95,20,2.19,moderate rain
321,Kisangani,CD,0.5167,25.2,69.51,99,100,2.21,overcast clouds
322,Vizinga,RU,61.0749,50.1031,41.02,96,98,8.05,overcast clouds
323,Puerto Ayora,EC,-0.7393,-90.3518,66.54,96,65,5.99,broken clouds
324,Villa Maria,AR,-32.4075,-63.2402,62.02,37,0,5.1,clear sky
325,Kontagora,NG,10.3999,5.4695,74.3,85,100,2.68,overcast clouds
326,Caluquembe,AO,-13.7833,14.6833,61.27,83,55,6.13,broken clouds
